DATE,TIME,CURRENCY,IMPACT,NEWS,,,ACTUAL,FORECAST,PREVIOUS
1/4/2023,15:00,USD,H,ISM Manufacturing PMI,,,48.4,48.5,49
1/4/2023,15:00,USD,H,JOLTS Job Openings,,,10.46M,10.04M,10.51M
1/4/2023,19:00,USD,H,FOMC Meeting Minutes,,,,,
1/5/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,235K,152K,182K
1/6/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.30%,0.40%,0.40%
1/6/2023,13:30,USD,H,Non-Farm Employment Change,,,223K,200K,256K
1/6/2023,13:30,USD,H,Unemployment Rate,,,3.50%,3.70%,3.70%
1/6/2023,15:00,USD,H,ISM Services PMI,,,49.6,55,56.5
1/10/2023,14:00,USD,H,Fed Chair Powell Speaks,,,,,
1/12/2023,13:30,USD,H,CPI m/m,,,-0.10%,-0.10%,0.10%
1/12/2023,13:30,USD,H,CPI y/y,,,6.50%,6.50%,7.10%
1/12/2023,13:30,USD,H,Core CPI m/m,,,0.30%,0.30%,0.20%
1/13/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,64.6,60.8,59.7
1/17/2023,13:30,USD,H,Empire State Manufacturing Index,,,-32.9,-8.7,-11.2
1/18/2023,13:30,USD,H,Core PPI m/m,,,0.10%,0.10%,0.20%
1/18/2023,13:30,USD,H,Core Retail Sales m/m,,,-1.10%,-0.50%,-0.60%
1/18/2023,13:30,USD,H,PPI m/m,,,-0.50%,-0.10%,0.20%
1/18/2023,13:30,USD,H,Retail Sales m/m,,,-1.10%,-0.80%,-1.00%
1/24/2023,14:45,USD,H,Flash Services PMI,,,46.6,45.3,44.7
1/26/2023,13:30,USD,H,Advance GDP q/q,,,2.90%,2.60%,3.20%
1/27/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.30%,0.30%,0.20%
1/31/2023,15:00,USD,H,CB Consumer Confidence,,,107.1,109.1,109
2/1/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,106K,176K,253K
2/1/2023,15:00,USD,H,ISM Manufacturing PMI,,,47.4,48,48.4
2/1/2023,15:00,USD,H,JOLTS Job Openings,,,11.01M,10.28M,10.44M
2/1/2023,19:00,USD,H,FOMC Statement,,,,,
2/1/2023,19:00,USD,H,Federal Funds Rate,,,4.75%,4.75%,4.50%
2/1/2023,19:30,USD,H,FOMC Press Conference,,,,,
2/3/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.30%,0.30%,0.40%
2/3/2023,13:30,USD,H,Non-Farm Employment Change,,,517K,193K,260K
2/3/2023,13:30,USD,H,Unemployment Rate,,,3.40%,3.60%,3.50%
2/3/2023,15:00,USD,H,ISM Services PMI,,,55.2,50.5,49.6
2/7/2023,17:40,USD,H,Fed Chair Powell Speaks,,,,,
2/8/2023,14:15,USD,H,FOMC Member Williams Speaks,,,,,
2/10/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,66.4,65,64.9
2/14/2023,13:30,USD,H,CPI m/m,,,0.50%,0.50%,-0.10%
2/14/2023,13:30,USD,H,CPI y/y,,,6.40%,6.20%,6.50%
2/14/2023,13:30,USD,H,Core CPI m/m,,,0.40%,0.40%,0.30%
2/15/2023,13:30,USD,H,Core Retail Sales m/m,,,2.30%,0.90%,-0.90%
2/15/2023,13:30,USD,H,Empire State Manufacturing Index,,,-5.8,-18.2,-32.9
2/15/2023,13:30,USD,H,Retail Sales m/m,,,3.00%,1.90%,-1.10%
2/16/2023,13:30,USD,H,Core PPI m/m,,,0.50%,0.30%,0.30%
2/16/2023,13:30,USD,H,PPI m/m,,,0.70%,0.40%,-0.20%
2/21/2023,14:45,USD,H,Flash Services PMI,,,50.5,47.3,46.8
2/22/2023,19:00,USD,H,FOMC Meeting Minutes,,,,,
2/23/2023,13:30,USD,H,Prelim GDP q/q,,,2.70%,2.90%,2.90%
2/24/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.60%,0.40%,0.40%
2/28/2023,15:00,USD,H,CB Consumer Confidence,,,102.9,108.5,106
3/1/2023,15:00,USD,H,ISM Manufacturing PMI,,,47.7,47.9,47.4
3/3/2023,15:00,USD,H,ISM Services PMI,,,55.1,54.5,55.2
3/7/2023,15:00,USD,H,Fed Chair Powell Testifies,,,,,
3/8/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,242K,197K,119K
3/8/2023,15:00,USD,H,Fed Chair Powell Testifies,,,,,
3/8/2023,15:00,USD,H,JOLTS Job Openings,,,10.82M,10.58M,11.23M
3/10/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.20%,0.30%,0.30%
3/10/2023,13:30,USD,H,Non-Farm Employment Change,,,311K,224K,504K
3/10/2023,13:30,USD,H,Unemployment Rate,,,3.60%,3.40%,3.40%
3/12/2023,22:20,USD,H,Fed Announcement,,,,,
3/14/2023,12:30,USD,H,CPI m/m,,,0.40%,0.40%,0.50%
3/14/2023,12:30,USD,H,CPI y/y,,,6.00%,6.00%,6.40%
3/14/2023,12:30,USD,H,Core CPI m/m,,,0.50%,0.40%,0.40%
3/15/2023,12:30,USD,H,Core PPI m/m,,,0.00%,0.40%,0.10%
3/15/2023,12:30,USD,H,Core Retail Sales m/m,,,-0.10%,-0.10%,2.40%
3/15/2023,12:30,USD,H,Empire State Manufacturing Index,,,-24.6,-7.9,-5.8
3/15/2023,12:30,USD,H,PPI m/m,,,-0.10%,0.30%,0.30%
3/15/2023,12:30,USD,H,Retail Sales m/m,,,-0.40%,-0.30%,3.20%
3/16/2023,12:30,USD,H,Unemployment Claims,,,192K,205K,212K
3/17/2023,14:00,USD,H,Prelim UoM Consumer Sentiment,,,63.4,66.9,67
3/19/2023,21:00,USD,H,Fed Announcement,,,,,
3/22/2023,18:00,USD,H,FOMC Economic Projections,,,,,
3/22/2023,18:00,USD,H,FOMC Statement,,,,,
3/22/2023,18:00,USD,H,Federal Funds Rate,,,5.00%,5.00%,4.75%
3/22/2023,18:30,USD,H,FOMC Press Conference,,,,,
3/23/2023,12:30,USD,H,Unemployment Claims,,,191K,198K,192K
3/24/2023,13:45,USD,H,Flash Manufacturing PMI,,,49.3,47,47.3
3/24/2023,13:45,USD,H,Flash Services PMI,,,53.8,50.3,50.6
3/28/2023,15:00,USD,H,CB Consumer Confidence,,,104.2,101,103.4
3/30/2023,13:30,USD,H,Final GDP q/q,,,2.60%,2.70%,2.70%
3/30/2023,13:30,USD,H,Unemployment Claims,,,198K,196K,191K
3/31/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.30%,0.40%,0.50%
4/3/2023,15:00,USD,H,ISM Manufacturing PMI,,,46.3,47.5,47.7
4/4/2023,15:00,USD,H,JOLTS Job Openings,,,9.93M,10.49M,10.56M
4/5/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,145K,208K,261K
4/5/2023,15:00,USD,H,ISM Services PMI,,,51.2,54.3,55.1
4/6/2023,13:30,USD,H,Unemployment Claims,,,228K,200K,246K
